x     I i class
-1.44	3	0	a
-1.434	3	0	a
-1.428	2	0	a
-1.422	2	0	a
-1.416	2	0	a
-1.41	2	0	a
-1.404	2	0	a
-1.398	2	0	a
-1.392	2	0	a
-1.386	2	0	a
-1.38	2	0	a
-1.374	2	0	a
-1.368	3	0	a
-1.362	2	0	a
-1.356	2	0	a
-1.35	2	0	a
-1.344	2	0	a
-1.338	2	0	a
-1.332	3	0	a
-1.326	2	0	a
-1.32	2	0	a
-1.314	2	0	a
-1.308	2	0	a
-1.302	2	0	a
-1.296	2	0	a
-1.29	2	0	a
-1.284	2	0	a
-1.278	2	0	a
-1.272	2	0	a
-1.266	2	0	a
-1.26	2	0	a
-1.254	2	0	a
-1.248	2	0	a
-1.242	3	0	a
-1.236	3	0	a
-1.23	2	0	a
-1.224	2	0	a
-1.218	2	0	a
-1.212	2	0	a
-1.206	2	0	a
-1.2	2	0	a
-1.194	2	0	a
-1.188	1	0	a
-1.182	3	0	a
-1.176	2	0	a
-1.17	3	0	a
-1.164	2	0	a
-1.158	3	0	a
-1.152	2	0	a
-1.146	2	0	a
-1.14	3	0	a
-1.134	2	0	a
-1.128	2	0	a
-1.122	2	0	a
-1.116	2	0	a
-1.11	3	0	a
-1.104	2	0	a
-1.098	3	0	a
-1.092	2	0	a
-1.086	2	0	a
-1.08	1	0	a
-1.074	2	0	a
-1.068	2	0	a
-1.062	2	0	a
-1.056	2	0	a
-1.05	2	0	a
-1.044	2	0	a
-1.038	2	0	a
-1.032	2	0	a
-1.026	3	0	a
-1.02	3	0	a
-1.014	2	0	a
-1.008	2	0	a
-1.002	2	0	a
-0.996	2	0	a
-0.99	3	0	a
-0.984	3	0	a
-0.978	2	0	a
-0.972	3	0	a
-0.966	2	0	a
-0.96	2	0	a
-0.954	2	0	a
-0.948	2	0	a
-0.942	2	0	a
-0.936	2	0	a
-0.93	2	0	a
-0.924	3	0	a
-0.918	2	0	a
-0.912	2	0	a
-0.906	2	0	a
-0.9	3	0	a
-0.894	3	0	a
-0.888	2	0	a
-0.882	2	0	a
-0.876	2	0	a
-0.87	2	0	a
-0.864	2	0	a
-0.858	2	0	a
-0.852	2	0	a
-0.846	3	0	a
-0.84	2	0	a
-0.834	2	0	a
-0.828	3	0	a
-0.822	2	0	a
-0.816	2	0	a
-0.81	2	0	a
-0.804	2	0	a
-0.798	2	0	a
-0.792	3	0	a
-0.786	2	0	a
-0.78	2	0	a
-0.774	3	0	a
-0.768	2	0	a
-0.762	3	0	a
-0.756	3	0	a
-0.75	4	0	a
-0.744	2	0	a
-0.738	3	0	a
-0.732	2	0	a
-0.726	3	0	a
-0.72	2	0	a
-0.714	2	0	a
-0.708	3	0	a
-0.702	3	0	a
-0.696	2	0	a
-0.69	2	0	a
-0.684	3	0	a
-0.678	2	0	a
-0.672	2	0	a
-0.666	2	0	a
-0.66	3	0	a
-0.654	3	0	a
-0.648	2	0	a
-0.642	2	0	a
-0.636	3	0	a
-0.63	2	0	a
-0.624	3	0	a
-0.618	2	0	a
-0.612	3	0	a
-0.606	3	0	a
-0.6	3	0	a
-0.594	3	1	a
-0.588	3	1	a
-0.582	3	1	a
-0.576	2	1	a
-0.57	2	0	a
-0.564	2	0	a
-0.558	3	0	a
-0.552	3	0	a
-0.546	2	0	a
-0.54	3	0	a
-0.534	3	0	a
-0.528	2	0	a
-0.522	2	0	a
-0.516	2	0	a
-0.51	3	1	a
-0.504	3	1	a
-0.498	3	1	a
-0.492	2	1	a
-0.486	3	1	a
-0.48	4	1	a
-0.474	3	1	a
-0.468	3	0	a
-0.462	3	0	a
-0.456	2	0	a
-0.45	3	0	a
-0.444	2	0	a
-0.438	2	0	a
-0.432	2	0	a
-0.426	2	1	a
-0.42	3	1	a
-0.414	3	1	a
-0.408	3	1	a
-0.402	4	1	a
-0.396	5	1	a
-0.39	4	1	a
-0.384	3	1	a
-0.378	3	1	a
-0.372	3	0	a
-0.366	3	0	a
-0.36	3	0	a
-0.354	3	0	a
-0.348	3	0	a
-0.342	2	1	a
-0.336	3	1	a
-0.33	3	1	a
-0.324	3	2	a
-0.318	4	2	a
-0.312	4	2	a
-0.306	5	2	a
-0.3	5	2	a
-0.294	5	1	a
-0.288	4	1	a
-0.282	4	0	a
-0.276	3	0	a
-0.27	3	0	a
-0.264	2	0	a
-0.258	3	1	a
-0.252	3	1	a
-0.246	4	2	a
-0.24	4	3	a
-0.234	6	3	a
-0.228	5	4	a
-0.222	6	4	a
-0.216	7	4	a
-0.21	6	4	a
-0.204	5	3	a
-0.198	5	2	a
-0.192	5	1	a
-0.186	4	0	a
-0.18	3	0	a
-0.174	3	0	a
-0.168	3	1	a
-0.162	4	3	a
-0.156	6	5	a
-0.15	8	7	a
-0.144	9	9	a
-0.138	12	11	a
-0.132	14	12	a
-0.126	13	12	a
-0.12	15	11	a
-0.114	12	9	a
-0.108	11	6	a
-0.102	8	3	a
-0.096	5	1	a
-0.09	4	0	a
-0.084	5	1	a
-0.078	7	6	a
-0.072	14	14	a
-0.066	26	26	a
-0.06	41	44	a
-0.054	61	65	a
-0.048	87	90	a
-0.042	110	117	a
-0.036	141	146	a
-0.03	170	174	a
-0.024	196	201	a
-0.018	218	223	a
-0.012	233	240	a
-0.006	248	251	a
0	248	255	a
0.006	247	251	a
0.012	233	240	a
0.018	216	223	a
0.024	192	201	a
0.03	166	174	a
0.036	135	146	a
0.042	107	117	a
0.048	80	90	a
0.054	56	65	a
0.06	37	44	a
0.066	22	26	a
0.072	12	14	a
0.078	6	6	a
0.084	4	1	a
0.09	5	0	a
0.096	6	1	a
0.102	9	3	a
0.108	12	6	a
0.114	14	9	a
0.12	16	11	a
0.126	15	12	a
0.132	14	12	a
0.138	13	11	a
0.144	10	9	a
0.15	8	7	a
0.156	6	5	a
0.162	4	3	a
0.168	3	1	a
0.174	3	0	a
0.18	3	0	a
0.186	4	0	a
0.192	5	1	a
0.198	6	2	a
0.204	6	3	a
0.21	8	4	a
0.216	7	4	a
0.222	6	4	a
0.228	6	4	a
0.234	5	3	a
0.24	4	3	a
0.246	4	2	a
